 t (s) 	surface	tc1	tc2	tc3	tc4	tc5	tc6	tc7	bottom
1e-06	300.456	300	300	300	300	300	300	300	300	
2.04999e-06	300.438	300	300	300	300	300	300	300	300	
3.15248e-06	300.446	300	300	300	300	300	300	300	300	
4.31009e-06	300.447	300	300	300	300	300	300	300	300	
5.52558e-06	300.449	300	300	300	300	300	300	300	300	
6.80183e-06	300.45	300	300	300	300	300	300	300	300	
8.14188e-06	300.452	300	300	300	300	300	300	300	300	
9.54893e-06	300.453	300	300	300	300	300	300	300	300	
1.10263e-05	300.455	300	300	300	300	300	300	300	300	
1.25776e-05	300.457	300	300	300	300	300	300	300	300	
1.42064e-05	300.459	300	300	300	300	300	300	300	300	
1.59166e-05	300.461	300	300	300	300	300	300	300	300	
1.77123e-05	300.463	300	300	300	300	300	300	300	300	
1.95978e-05	300.465	300	300	300	300	300	300	300	300	
2.15776e-05	300.467	300	300	300	300	300	300	300	300	
2.36563e-05	300.47	300	300	300	300	300	300	300	300	
2.5839e-05	300.472	300	300	300	300	300	300	300	300	
2.81308e-05	300.475	300	300	300	300	300	300	300	300	
3.05371e-05	300.478	300	300	300	300	300	300	300	300	
3.30638e-05	300.48	300	300	300	300	300	300	300	300	
3.57168e-05	300.484	300	300	300	300	300	300	300	300	
3.85024e-05	300.487	300	300	300	300	300	300	300	300	
4.14272e-05	300.49	300	300	300	300	300	300	300	300	
4.44982e-05	300.494	300	300	300	300	300	300	300	300	
4.77227e-05	300.497	300	300	300	300	300	300	300	300	
5.11084e-05	300.501	300	300	300	300	300	300	300	300	
5.46632e-05	300.505	300	300	300	300	300	300	300	300	
5.83957e-05	300.51	300	300	300	300	300	300	300	300	
6.23149e-05	300.514	300	300	300	300	300	300	300	300	
6.64299e-05	300.519	300	300	300	300	300	300	300	300	
7.07506e-05	300.524	300	300	300	300	300	300	300	300	
7.52873e-05	300.529	300	300	300	300	300	300	300	300	
8.00506e-05	300.535	300	300	300	300	300	300	300	300	
8.50518e-05	300.541	300	300	300	300	300	300	300	300	
9.03031e-05	300.547	300	300	300	300	300	300	300	300	
9.58168e-05	300.553	300	300	300	300	300	300	300	300	
0.000101606	300.56	300	300	300	300	300	300	300	300	
0.000107684	300.567	300	300	300	300	300	300	300	300	
0.000114067	300.575	300	300	300	300	300	300	300	300	
0.000120768	300.582	300	300	300	300	300	300	300	300	
0.000127803	300.591	300	300	300	300	300	300	300	300	
0.00013519	300.599	300	300	300	300	300	300	300	300	
0.000142946	300.608	300	300	300	300	300	300	300	300	
0.00015109	300.618	300	300	300	300	300	300	300	300	
0.00015964	300.628	300	300	300	300	300	300	300	300	
0.000168618	300.639	300	300	300	300	300	300	300	300	
0.000178044	300.65	300	300	300	300	300	300	300	300	
0.000187941	300.661	300	300	300	300	300	300	300	300	
0.000198332	300.674	300	300	300	300	300	300	300	300	
0.000209243	300.687	300	300	300	300	300	300	300	300	
0.000220699	300.7	300	300	300	300	300	300	300	300	
0.000232726	300.715	300	300	300	300	300	300	300	300	
0.000245355	300.73	300	300	300	300	300	300	300	300	
0.000258615	300.745	300	300	300	300	300	300	300	300	
0.000272538	300.762	300	300	300	300	300	300	300	300	
0.000287156	300.78	300	300	300	300	300	300	300	300	
0.000302504	300.798	300	300	300	300	300	300	300	300	
0.000318618	300.818	300	300	300	300	300	300	300	300	
0.000335536	300.838	300	300	300	300	300	300	300	300	
0.000353298	300.86	300	300	300	300	300	300	300	300	
0.000371948	300.883	300	300	300	300	300	300	300	300	
0.000391529	300.907	300	300	300	300	300	300	300	300	
0.000412088	300.932	300	300	300	300	300	300	300	300	
0.000433672	300.958	300	300	300	300	300	300	300	300	
0.000456332	300.987	300	300	300	300	300	300	300	300	
0.000480123	301.016	300	300	300	300	300	300	300	300	
0.000505103	301.047	300	300	300	300	300	300	300	300	
0.000531327	301.08	300	300	300	300	300	300	300	300	
0.000558858	301.115	300	300	300	300	300	300	300	300	
0.000587765	301.152	300	300	300	300	300	300	300	300	
0.000618111	301.191	300	300	300	300	300	300	300	300	
0.000649964	301.232	300	300	300	300	300	300	300	300	
0.000683404	301.275	300	300	300	300	300	300	300	300	
0.000718511	301.321	300	300	300	300	300	300	300	300	
0.000755364	301.369	300	300	300	300	300	300	300	300	
0.000794055	301.42	300	300	300	300	300	300	300	300	
0.00083468	301.474	300	300	300	300	300	300	300	300	
0.000877332	301.531	300	300	300	300	300	300	300	300	
0.000922103	301.592	300	300	300	300	300	300	300	300	
0.000969104	301.656	300	300	300	300	300	300	300	300	
0.00101845	301.724	300	300	300	300	300	300	300	300	
0.00107024	301.796	300	300	300	300	300	300	300	300	
0.0011246	301.873	300	300	300	300	300	300	300	300	
0.00118165	301.954	300	300	300	300	300	300	300	300	
0.00124154	302.04	300	300	300	300	300	300	300	300	
0.00130441	302.131	300	300	300	300	300	300	300	300	
0.00137038	302.228	300	300	300	300	300	300	300	300	
0.00143964	302.33	300	300	300	300	300	300	300	300	
0.00151233	302.44	300	300	300	300	300	300	300	300	
0.00158861	302.556	300	300	300	300	300	300	300	300	
0.00166869	302.679	300	300	300	300	300	300	300	300	
0.00175273	302.81	300	300	300	300	300	300	300	300	
0.00184093	302.95	300	300	300	300	300	300	300	300	
0.00193344	303.099	300	300	300	300	300	300	300	300	
0.00203054	303.257	300	300	300	300	300	300	300	300	
0.00213248	303.426	300	300	300	300	300	300	300	300	
0.00223944	303.605	300	300	300	300	300	300	300	300	
0.00235168	303.797	300	300	300	300	300	300	300	300	
0.00246947	304.001	300	300	300	300	300	300	300	300	
0.00259308	304.218	300	300	300	300	300	300	300	300	
