t (s) 	m_dot_g_surf (kg/m²/s)	m_dot_c (kg/m²/s)	< 98 % Virgin	> 1.02 % Char	Total recession (m)
0.0	0	0	0	0	0
0.1	0.00314491	0.0287575	0	0	4.25154e-06
0.2	0.00942454	0.0413766	0.000128825	3.9106e-05	1.78224e-05
0.3	0.0166798	0.0420223	0.00027141	5.45728e-05	3.32959e-05
0.4	0.0220474	0.0411497	0.000399735	7.03318e-05	4.9062e-05
0.5	0.0251599	0.04068	0.000514239	8.63549e-05	6.50922e-05
0.6	0.0268457	0.0404892	0.000621084	0.000102653	8.13971e-05
0.7	0.0277307	0.0403075	0.000721743	0.000119178	9.79299e-05
0.8	0.0281334	0.0402642	0.000816124	0.000135893	0.000114652
0.9	0.0282488	0.0402728	0.000908604	0.000152785	0.000131552
1	0.0281988	0.0403181	0.000995691	0.00016983	0.000148604
1.1	0.028039	0.0403928	0.00108152	0.000187017	0.000165799
1.2	0.0278119	0.0404814	0.00116289	0.000204334	0.000183124
1.3	0.0275473	0.0405723	0.001242	0.000221768	0.000200566
1.4	0.0272616	0.0406689	0.00132034	0.00023931	0.000218116
1.5	0.0269633	0.0407693	0.0013961	0.000256952	0.000235766
1.6	0.0266614	0.0408645	0.00146979	0.000274687	0.000253508
1.7	0.0263579	0.0409406	0.00154174	0.000292501	0.000271331
1.8	0.0260585	0.0410128	0.00161216	0.000310385	0.000289223
1.9	0.0257651	0.0410837	0.0016812	0.000328335	0.000307181
2	0.0254788	0.0411531	0.00174892	0.000346345	0.000325199
2.1	0.025201	0.0412208	0.00181535	0.000364412	0.000343275
2.2	0.0249319	0.0412868	0.00188048	0.000382534	0.000361404
2.3	0.0246713	0.041351	0.00194427	0.000400705	0.000379584
2.4	0.0244204	0.0414132	0.00200665	0.000418925	0.000397812
2.5	0.0241781	0.0414736	0.00206956	0.00043719	0.000416085
2.6	0.0239448	0.0415317	0.00213142	0.000455499	0.000434402
2.7	0.0237193	0.0415877	0.0021919	0.000473847	0.000452759
2.8	0.0235023	0.0416419	0.00225086	0.000492235	0.000471156
