p (Pa)	B'g	B'c	Temp (K)	hw (J/kg)
1.01325E+05	1.00000E+01	9.21228E+01	3.90000E+03	2.95720E+07
1.01325E+05	1.00000E+01	4.48454E+01	3.85000E+03	2.93068E+07
1.01325E+05	1.00000E+01	2.61083E+01	3.80000E+03	2.87065E+07
1.01325E+05	1.00000E+01	1.65676E+01	3.75000E+03	2.78197E+07
1.01325E+05	1.00000E+01	1.10471E+01	3.70000E+03	2.67059E+07
1.01325E+05	1.00000E+01	7.59755E+00	3.65000E+03	2.54322E+07
1.01325E+05	1.00000E+01	5.32831E+00	3.60000E+03	2.40639E+07
1.01325E+05	1.00000E+01	3.77760E+00	3.55000E+03	2.26573E+07
1.01325E+05	1.00000E+01	2.68411E+00	3.50000E+03	2.12560E+07
1.01325E+05	1.00000E+01	1.89043E+00	3.45000E+03	1.98906E+07
1.01325E+05	1.00000E+01	1.29748E+00	3.40000E+03	1.85814E+07
1.01325E+05	1.00000E+01	8.41003E-01	3.35000E+03	1.73404E+07
1.01325E+05	1.00000E+01	4.78590E-01	3.30000E+03	1.61735E+07
1.01325E+05	1.00000E+01	1.81957E-01	3.25000E+03	1.50825E+07
1.01325E+05	1.00000E+01	0.00000E+00	3.20000E+03	1.40724E+07
1.01325E+05	1.00000E+01	0.00000E+00	3.15000E+03	1.31617E+07
1.01325E+05	1.00000E+01	0.00000E+00	3.10000E+03	1.23359E+07
1.01325E+05	1.00000E+01	0.00000E+00	3.05000E+03	1.15878E+07
1.01325E+05	1.00000E+01	0.00000E+00	3.00000E+03	1.09102E+07
1.01325E+05	1.00000E+01	0.00000E+00	2.95000E+03	1.02958E+07
1.01325E+05	1.00000E+01	0.00000E+00	2.90000E+03	9.73786E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.85000E+03	9.23008E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.80000E+03	8.76681E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.75000E+03	8.34299E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.70000E+03	7.95408E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.65000E+03	7.59601E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.60000E+03	7.26512E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.55000E+03	6.95814E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.50000E+03	6.67209E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.45000E+03	6.40429E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.40000E+03	6.15232E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.35000E+03	5.91397E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.30000E+03	5.68724E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.25000E+03	5.47031E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.20000E+03	5.26150E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.15000E+03	5.05924E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.10000E+03	4.86202E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.05000E+03	4.66831E+06
1.01325E+05	1.00000E+01	0.00000E+00	2.00000E+03	4.47647E+06
1.01325E+05	1.00000E+01	0.00000E+00	1.95000E+03	4.28457E+06
