p (bar)	B'g	Temp (K)	B'c	Hw (kJ/kg)
1.01325D-03	0.00000D+00	2.50000E+02	8.74262E-02	-2.68099E+03
1.01325D-03	0.00000D+00	2.75000E+02	8.74262E-02	-2.65673E+03
1.01325D-03	0.00000D+00	3.00000E+02	8.74262E-02	-2.63226E+03
1.01325D-03	0.00000D+00	3.25000E+02	8.74262E-02	-2.60760E+03
1.01325D-03	0.00000D+00	3.50000E+02	8.74262E-02	-2.58275E+03
1.01325D-03	0.00000D+00	3.75000E+02	8.74263E-02	-2.55770E+03
1.01325D-03	0.00000D+00	4.00000E+02	8.74268E-02	-2.53246E+03
1.01325D-03	0.00000D+00	4.25000E+02	8.74292E-02	-2.50700E+03
1.01325D-03	0.00000D+00	4.50000E+02	8.74381E-02	-2.48124E+03
1.01325D-03	0.00000D+00	4.75000E+02	8.74667E-02	-2.45499E+03
1.01325D-03	0.00000D+00	5.00000E+02	8.75478E-02	-2.42772E+03
1.01325D-03	0.00000D+00	5.25000E+02	8.77547E-02	-2.39829E+03
1.01325D-03	0.00000D+00	5.50000E+02	8.82357E-02	-2.36435E+03
1.01325D-03	0.00000D+00	5.75000E+02	8.92649E-02	-2.32163E+03
1.01325D-03	0.00000D+00	6.00000E+02	9.13051E-02	-2.26295E+03
1.01325D-03	0.00000D+00	6.25000E+02	9.50577E-02	-2.17760E+03
1.01325D-03	0.00000D+00	6.50000E+02	1.01433E-01	-2.05216E+03
1.01325D-03	0.00000D+00	6.75000E+02	1.11289E-01	-1.87510E+03
1.01325D-03	0.00000D+00	7.00000E+02	1.24735E-01	-1.64758E+03
1.01325D-03	0.00000D+00	7.25000E+02	1.40131E-01	-1.39670E+03
1.01325D-03	0.00000D+00	7.50000E+02	1.54098E-01	-1.17154E+03
1.01325D-03	0.00000D+00	7.75000E+02	1.63896E-01	-1.00799E+03
1.01325D-03	0.00000D+00	8.00000E+02	1.69451E-01	-9.04016E+02
1.01325D-03	0.00000D+00	8.25000E+02	1.72232E-01	-8.38029E+02
1.01325D-03	0.00000D+00	8.50000E+02	1.73563E-01	-7.91628E+02
1.01325D-03	0.00000D+00	8.75000E+02	1.74200E-01	-7.54470E+02
1.01325D-03	0.00000D+00	9.00000E+02	1.74511E-01	-7.21559E+02
1.01325D-03	0.00000D+00	9.25000E+02	1.74668E-01	-6.90590E+02
1.01325D-03	0.00000D+00	9.50000E+02	1.74750E-01	-6.60497E+02
1.01325D-03	0.00000D+00	9.75000E+02	1.74793E-01	-6.30778E+02
1.01325D-03	0.00000D+00	1.00000E+03	1.74817E-01	-6.01189E+02
1.01325D-03	0.00000D+00	1.02500E+03	1.74831E-01	-5.71611E+02
1.01325D-03	0.00000D+00	1.05000E+03	1.74839E-01	-5.41986E+02
1.01325D-03	0.00000D+00	1.07500E+03	1.74844E-01	-5.12283E+02
1.01325D-03	0.00000D+00	1.10000E+03	1.74847E-01	-4.82488E+02
1.01325D-03	0.00000D+00	1.12500E+03	1.74849E-01	-4.52595E+02
1.01325D-03	0.00000D+00	1.15000E+03	1.74850E-01	-4.22602E+02
1.01325D-03	0.00000D+00	1.17500E+03	1.74851E-01	-3.92508E+02
1.01325D-03	0.00000D+00	1.20000E+03	1.74851E-01	-3.62315E+02
1.01325D-03	0.00000D+00	1.22500E+03	1.74851E-01	-3.32026E+02
1.01325D-03	0.00000D+00	1.25000E+03	1.74852E-01	-3.01642E+02
1.01325D-03	0.00000D+00	1.27500E+03	1.74852E-01	-2.71167E+02
1.01325D-03	0.00000D+00	1.30000E+03	1.74852E-01	-2.40604E+02
1.01325D-03	0.00000D+00	1.32500E+03	1.74852E-01	-2.09954E+02
1.01325D-03	0.00000D+00	1.35000E+03	1.74852E-01	-1.79221E+02
1.01325D-03	0.00000D+00	1.37500E+03	1.74852E-01	-1.48408E+02
1.01325D-03	0.00000D+00	1.40000E+03	1.74852E-01	-1.17518E+02
1.01325D-03	0.00000D+00	1.42500E+03	1.74852E-01	-8.65516E+01
1.01325D-03	0.00000D+00	1.45000E+03	1.74852E-01	-5.55128E+01
1.01325D-03	0.00000D+00	1.47500E+03	1.74852E-01	-2.44037E+01
1.01325D-03	0.00000D+00	1.50000E+03	1.74852E-01	6.77348E+00
1.01325D-03	0.00000D+00	1.52500E+03	1.74852E-01	3.80165E+01
1.01325D-03	0.00000D+00	1.55000E+03	1.74852E-01	6.93233E+01
1.01325D-03	0.00000D+00	1.57500E+03	1.74852E-01	1.00692E+02
1.01325D-03	0.00000D+00	1.60000E+03	1.74852E-01	1.32120E+02
1.01325D-03	0.00000D+00	1.62500E+03	1.74852E-01	1.63606E+02
1.01325D-03	0.00000D+00	1.65000E+03	1.74852E-01	1.95148E+02
1.01325D-03	0.00000D+00	1.67500E+03	1.74852E-01	2.26745E+02
1.01325D-03	0.00000D+00	1.70000E+03	1.74852E-01	2.58394E+02
1.01325D-03	0.00000D+00	1.72500E+03	1.74852E-01	2.90095E+02
1.01325D-03	0.00000D+00	1.75000E+03	1.74853E-01	3.21846E+02
1.01325D-03	0.00000D+00	1.77500E+03	1.74853E-01	3.53645E+02
1.01325D-03	0.00000D+00	1.80000E+03	1.74853E-01	3.85493E+02
1.01325D-03	0.00000D+00	1.82500E+03	1.74853E-01	4.17388E+02
1.01325D-03	0.00000D+00	1.85000E+03	1.74853E-01	4.49329E+02
1.01325D-03	0.00000D+00	1.87500E+03	1.74854E-01	4.81318E+02
1.01325D-03	0.00000D+00	1.90000E+03	1.74854E-01	5.13353E+02
1.01325D-03	0.00000D+00	1.92500E+03	1.74855E-01	5.45437E+02
1.01325D-03	0.00000D+00	1.95000E+03	1.74856E-01	5.77570E+02
1.01325D-03	0.00000D+00	1.97500E+03	1.74858E-01	6.09756E+02
1.01325D-03	0.00000D+00	2.00000E+03	1.74860E-01	6.41998E+02
1.01325D-03	0.00000D+00	2.02500E+03	1.74863E-01	6.74302E+02
1.01325D-03	0.00000D+00	2.05000E+03	1.74868E-01	7.06675E+02
1.01325D-03	0.00000D+00	2.07500E+03	1.74873E-01	7.39127E+02
1.01325D-03	0.00000D+00	2.10000E+03	1.74880E-01	7.71671E+02
1.01325D-03	0.00000D+00	2.12500E+03	1.74890E-01	8.04323E+02
1.01325D-03	0.00000D+00	2.15000E+03	1.74903E-01	8.37105E+02
1.01325D-03	0.00000D+00	2.17500E+03	1.74920E-01	8.70046E+02
1.01325D-03	0.00000D+00	2.20000E+03	1.74941E-01	9.03180E+02
1.01325D-03	0.00000D+00	2.22500E+03	1.74970E-01	9.36554E+02
1.01325D-03	0.00000D+00	2.25000E+03	1.75007E-01	9.70228E+02
1.01325D-03	0.00000D+00	2.27500E+03	1.75055E-01	1.00428E+03
1.01325D-03	0.00000D+00	2.30000E+03	1.75118E-01	1.03880E+03
1.01325D-03	0.00000D+00	2.32500E+03	1.75200E-01	1.07394E+03
1.01325D-03	0.00000D+00	2.35000E+03	1.75307E-01	1.10984E+03
1.01325D-03	0.00000D+00	2.37500E+03	1.75447E-01	1.14674E+03
1.01325D-03	0.00000D+00	2.40000E+03	1.75630E-01	1.18491E+03
1.01325D-03	0.00000D+00	2.42500E+03	1.75870E-01	1.22475E+03
1.01325D-03	0.00000D+00	2.45000E+03	1.76186E-01	1.26675E+03
1.01325D-03	0.00000D+00	2.47500E+03	1.76603E-01	1.31157E+03
1.01325D-03	0.00000D+00	2.50000E+03	1.77155E-01	1.36008E+03
1.01325D-03	0.00000D+00	2.52500E+03	1.77887E-01	1.41344E+03
1.01325D-03	0.00000D+00	2.55000E+03	1.78861E-01	1.47317E+03
1.01325D-03	0.00000D+00	2.57500E+03	1.80159E-01	1.54130E+03
1.01325D-03	0.00000D+00	2.60000E+03	1.81890E-01	1.62047E+03
1.01325D-03	0.00000D+00	2.62500E+03	1.84202E-01	1.71416E+03
1.01325D-03	0.00000D+00	2.65000E+03	1.87291E-01	1.82695E+03
1.01325D-03	0.00000D+00	2.67500E+03	1.91424E-01	1.96479E+03
1.01325D-03	0.00000D+00	2.70000E+03	1.96953E-01	2.13542E+03
1.01325D-03	0.00000D+00	2.72500E+03	2.04357E-01	2.34885E+03
1.01325D-03	0.00000D+00	2.75000E+03	2.14282E-01	2.61795E+03
1.01325D-03	0.00000D+00	2.77500E+03	2.27610E-01	2.95916E+03
1.01325D-03	0.00000D+00	2.80000E+03	2.45556E-01	3.39334E+03
1.01325D-03	0.00000D+00	2.82500E+03	2.69829E-01	3.94672E+03
1.01325D-03	0.00000D+00	2.85000E+03	3.02873E-01	4.65194E+03
1.01325D-03	0.00000D+00	2.87500E+03	3.48298E-01	5.54910E+03
1.01325D-03	0.00000D+00	2.90000E+03	4.11635E-01	6.68673E+03
1.01325D-03	0.00000D+00	2.92500E+03	5.01794E-01	8.12228E+03
1.01325D-03	0.00000D+00	2.95000E+03	6.34097E-01	9.92194E+03
1.01325D-03	0.00000D+00	2.97500E+03	8.37329E-01	1.21589E+04
1.01325D-03	0.00000D+00	3.00000E+03	1.17273E+00	1.49093E+04
1.01325D-03	0.00000D+00	3.02500E+03	1.79764E+00	1.82428E+04
1.01325D-03	0.00000D+00	3.05000E+03	3.27361E+00	2.22030E+04
1.01325D-03	0.00000D+00	3.07500E+03	1.00811E+01	2.67422E+04
1.01325D-03	0.00000D+00	3.10000E+03	1.00811E+01	2.67422E+04
1.01325D-03	0.00000D+00	3.12500E+03	1.00811E+01	2.67422E+04
1.01325D-03	0.00000D+00	3.15000E+03	1.00811E+01	2.67422E+04
1.01325D-03	0.00000D+00	3.17500E+03	1.00811E+01	2.67422E+04
1.01325D-03	0.00000D+00	3.20000E+03	1.00811E+01	2.67422E+04
1.01325D-03	0.00000D+00	3.22500E+03	1.00811E+01	2.67422E+04
1.01325D-03	0.00000D+00	3.25000E+03	1.00811E+01	2.67422E+04
1.01325D-03	0.00000D+00	3.27500E+03	1.00811E+01	2.67422E+04
